step,paraprofessional,paraprofessional_option,asst_teacher,asst_teacher_option,teacher,teacher_option_1,teacher_option_2
0,28850,30000,31900,35000,48000,50000,50000
1,29139,30600,32219,35700,48960,51000,51000
2,29430,31212,32541,36414,50920,52020,52020
3,29724,31836,32867,37142,51430,53060,53060
4,30021,32473,33195,37885,51945,54122,54122
5,30322,33122,33527,38643,56105,55204,55204
6,30625,33785,33862,39416,56670,56308,56308
7,30931,34461,34201,40204,57240,57434,57434
8,31240,35150,34543,41008,57815,58583,58583
9,31553,35853,34889,41828,60130,59755,59755
10,31868,36570,35237,42665,60735,60950,60950
11,32187,37301,35590,43518,61345,61864,62169
12,32509,38047,35946,44388,61960,62792,63412
13,32834,38808,36305,45276,62580,63734,64680
14,33162,39584,36668,46182,63210,64690,65974
15,33494,40376,37035,47105,63845,65660,67293
16,33829,41184,37405,48047,64485,66645,68639
17,34167,42007,37779,49008,65130,67645,70012
18,34509,42847,38157,49989,65785,68659,71412
19,34854,43704,38539,50988,66445,69689,72841
20,35202,44578,38924,52008,67110,70735,74297
21,35555,45470,39313,53048,67785,71796,75783
22,35910,46379,39706,54109,68465,72873,77299
23,36269,47307,40104,55191,69150,73966,78845
24,36632,48253,40505,56295,69845,75075,80422
25,36998,49218,40910,57421,70545,76201,82030
26,37368,50203,41319,58570,71255,77344,83671
27,37742,51207,41732,59741,71970,78504,85344
28,38119,52231,42149,60936,72690,79682,87051
29,38500,53275,42571,62155,73420,80877,88792
30,38885,54341,42996,63398,74155,82090,90568
